frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
48,0.480000,-3.994065e+01,-2.383839e+01,4.326327e+00,4.154627e+00,1.690842e+01,-9.011791e+00,-3.474829e+00,-1.818204e+01,6.928085e+00,-1.281342e+00,-4.944508e+00,5.540537e-01,1.916383e+01
49,0.490000,-3.995594e+01,-2.791198e+01,7.090881e+00,6.350987e+00,2.017213e+01,-8.195342e+00,-1.156078e+01,-1.327193e+01,-1.066222e+00,-6.621055e+00,-2.104934e+00,3.306188e+00,1.920046e+01
50,0.500000,-3.872125e+01,-1.889696e+01,9.688120e+00,8.825626e+00,1.966621e+01,-1.357891e+01,-1.281857e+01,-1.730606e+01,-3.846986e+00,-2.547622e+00,-4.542676e+00,4.642300e+00,1.899658e+01
51,0.510000,-3.751542e+01,-1.592901e+01,1.002655e+01,-3.173017e+00,2.417085e+01,-3.733570e+00,-1.144269e+01,-2.833810e+01,1.321247e+00,6.065897e+00,2.509879e+00,1.424420e+01,1.867558e+01
52,0.520000,-4.121599e+01,-2.621743e+01,6.058132e+00,-2.169631e+00,1.758354e+01,-9.948174e+00,-1.951914e+01,-1.620370e+01,4.673608e+00,1.095457e+00,1.024986e-01,-1.840508e+00,1.807946e+01
53,0.530000,-3.520799e+01,-2.994783e+01,-1.232438e+00,-1.929510e-01,2.027322e+01,-2.096606e+01,-2.657228e+01,-9.266858e+00,1.782588e+01,9.078072e+00,-6.254534e-01,-4.809673e+00,1.760619e+01
54,0.540000,-3.139437e+01,-2.966529e+01,-2.283242e+00,-6.774427e+00,2.403630e+01,-1.794551e+01,-3.348921e+01,-3.837213e+00,1.063681e+01,2.574831e+00,1.920289e+00,1.056565e+01,1.702684e+01
55,0.550000,-2.194596e+01,-2.512645e+01,2.777335e+00,-1.966668e+00,1.911406e+01,-1.680786e+01,-2.980216e+01,-4.528225e+00,1.587832e+01,1.162619e+00,3.557759e-01,-5.032400e-01,1.667069e+01
56,0.560000,-1.174407e+01,-2.186415e+01,7.420579e+00,-2.169135e+00,4.856909e+00,-3.479415e+01,-4.136333e+01,-2.443346e+01,-6.781001e+00,-1.730593e+00,-6.198099e-01,1.270170e+00,1.870543e+01
57,0.570000,3.454359e-01,-2.194219e+01,1.592235e+01,3.282357e+00,-6.488144e+00,-3.659029e+01,-5.082498e+01,-5.061152e+01,5.339907e+00,-1.409141e+01,-1.686883e+01,-1.695281e+00,1.981242e+01
58,0.580000,2.652021e+00,-1.772567e+01,1.485605e+01,9.177663e-01,-1.782514e+00,-3.597261e+01,-5.319591e+01,-4.381770e+01,3.435437e+00,-1.017965e+01,-1.491155e+00,5.032049e+00,2.024557e+01
59,0.590000,4.732860e+00,-1.975802e+01,1.402473e+01,-7.511719e+00,-3.721838e+00,-2.801106e+01,-4.988964e+01,-2.422541e+01,7.506773e+00,-1.886335e+00,1.572251e+01,1.809929e+01,2.197203e+01
60,0.600000,6.778183e+00,-2.068703e+01,1.709011e+01,-3.932327e+01,-1.642747e+01,-5.408308e+01,-5.714237e+01,-8.924642e+00,1.119708e+00,1.003644e+01,1.457772e+01,1.922325e+01,2.366661e+01
61,0.610000,8.685966e+00,-2.460225e+01,1.681641e+01,-4.057764e+01,-2.018793e+01,-4.744169e+01,-4.853976e+01,1.071337e+00,3.267709e+00,1.107992e+01,1.356722e+01,2.038391e+01,2.415488e+01
62,0.620000,5.856776e+00,-2.668391e+01,4.144890e+00,-4.719073e+01,-3.010756e+01,-4.973437e+01,-4.243319e+01,-5.104385e+00,3.270242e+00,1.364784e+01,1.508738e+01,-1.782721e-01,2.410107e+01
63,0.630000,1.142117e+01,-2.666034e+01,6.677139e-01,-4.612021e+01,-2.706004e+01,-4.105841e+01,-3.461977e+01,-1.055460e+01,-1.663137e+00,1.162120e+01,2.281750e+01,5.270567e+00,2.392097e+01
64,0.640000,5.038391e-01,-2.345683e+01,2.030927e-01,-5.845444e+01,-2.850461e+01,-3.542945e+01,-4.357571e+01,-3.299924e+00,-7.208800e+00,1.595441e+01,3.200454e+01,1.494476e+01,2.397684e+01
65,0.650000,4.691618e+00,-2.722056e+01,-2.579664e+00,-6.164834e+01,-1.889533e+01,-2.241702e+01,-3.258766e+01,2.166514e+00,9.953835e+00,1.852662e+01,3.455600e+01,2.949481e+01,2.425519e+01
66,0.660000,1.051622e+01,-2.926799e+01,-1.573435e+01,-6.721676e+01,-1.358175e+01,-1.144665e+01,-1.873984e+01,8.146329e+00,1.178555e+01,1.829320e+01,3.207390e+01,2.509250e+01,2.411914e+01
67,0.670000,1.477554e+01,-2.285679e+01,-1.913017e+01,-5.773248e+01,-8.050945e+00,3.260409e+00,-9.397471e+00,-5.838514e+00,-1.905683e+00,1.679282e+01,2.500912e+01,2.593718e+01,2.330871e+01
68,0.680000,9.444075e+00,-2.760332e+01,-1.199233e+01,-5.241821e+01,-9.338662e+00,4.076170e+00,-1.566440e+01,-1.274274e+01,3.405315e+00,7.893872e-01,1.326421e+01,1.631514e+01,2.173548e+01
69,0.690000,5.482220e+00,-2.630624e+01,-1.559082e+01,-5.405593e+01,-1.047761e+01,-1.257687e+01,-1.550118e+01,-4.984982e+00,-5.192939e+00,5.790108e-01,9.931909e+00,-5.285450e+00,2.019579e+01
70,0.700000,1.923755e+00,-2.243249e+01,-6.738277e+00,-4.401732e+01,2.044853e+00,-1.162748e+01,-2.129341e+01,5.360320e+00,9.456556e+00,1.172236e+01,1.688273e+01,-1.780704e+01,1.974804e+01
71,0.710000,3.484682e+00,-2.422400e+01,-9.618562e+00,-5.133712e+01,-3.300699e+00,-1.357281e+01,-1.922742e+01,8.532701e+00,-8.739699e+00,-7.654699e+00,2.629989e+01,-1.005867e+01,1.948934e+01
