frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
90,0.900000,-1.956624e+01,-2.876219e+01,3.146343e+00,-3.545399e+01,1.864101e+01,-5.519588e+01,-1.380644e+00,-2.856538e+01,3.384214e+01,-4.923509e+01,-2.095633e+01,-1.813888e+01,2.283737e+01
91,0.910000,-2.067714e+01,-2.986054e+01,-2.929274e-01,-3.343399e+01,2.018337e+01,-6.459658e+01,-1.020972e+01,-2.892015e+01,4.123150e+01,-4.582053e+01,-2.449335e+01,-2.136538e+01,2.298689e+01
92,0.920000,-1.781132e+01,-3.077018e+01,-6.240205e+00,-4.025666e+01,1.915367e+01,-6.328042e+01,-1.590713e+01,-3.672311e+01,4.507226e+01,-5.017001e+01,-2.259772e+01,-2.543116e+01,2.290992e+01
93,0.930000,-1.409926e+01,-2.792368e+01,-1.221773e+01,-4.632216e+01,1.594944e+01,-5.305357e+01,-1.245312e+01,-3.202922e+01,3.022704e+01,-3.789009e+01,-2.447037e+01,-2.814323e+01,2.260236e+01
94,0.940000,-1.198411e+01,-2.565865e+01,-3.958061e+00,-5.677913e+01,1.563786e+01,-4.675050e+01,1.299361e+00,-3.455308e+01,2.980424e+01,-2.622318e+01,-1.175137e+01,-3.356056e+01,2.240484e+01
95,0.950000,-1.074634e+01,-2.404295e+01,-6.988653e+00,-5.424763e+01,1.195893e+01,-4.402302e+01,2.407042e+00,-3.502713e+01,2.952939e+01,-2.032873e+01,-1.154251e+01,-3.532402e+01,2.242492e+01
96,0.960000,-9.332569e+00,-2.671565e+01,-4.735558e+00,-6.429666e+01,2.414445e+00,-4.474287e+01,-8.522124e+00,-4.070124e+01,2.093799e+01,-2.573193e+01,-1.681382e+01,-4.262916e+01,2.251481e+01
97,0.970000,-5.997125e+00,-2.133517e+01,-1.215548e-01,-6.364204e+01,5.674258e+00,-4.541917e+01,-5.940290e+00,-2.899875e+01,2.333998e+01,-2.562082e+01,-5.711376e+00,-2.897985e+01,2.256383e+01
98,0.980000,-3.650626e+00,-2.116829e+01,-7.117893e+00,-5.819116e+01,1.028907e+01,-4.796519e+01,-1.090075e+01,-2.806009e+01,2.293009e+01,-1.798729e+01,-1.242990e+01,-1.779239e+01,2.254828e+01
99,0.990000,-3.199948e+00,-2.209721e+01,-8.084746e+00,-5.695713e+01,1.408805e+01,-4.440635e+01,-1.709245e+01,-3.735832e+01,2.370577e+01,-1.258748e+01,-1.883257e+00,-2.085922e+01,2.242597e+01
100,1.000000,-1.667461e+00,-2.229396e+01,-5.411570e+00,-5.496189e+01,9.667608e+00,-3.836459e+01,-1.766385e+01,-4.232909e+01,2.435830e+01,-7.036931e+00,1.682370e+00,-2.408137e+01,2.215298e+01
101,1.010000,-2.278885e+00,-1.693119e+01,1.453584e+00,-5.092873e+01,1.762569e+01,-3.992458e+01,-3.310771e+01,-4.370313e+01,8.982884e+00,3.711140e+00,-4.229268e+00,-2.660862e+01,2.154918e+01
102,1.020000,5.666373e-01,-1.541880e+01,3.465165e+00,-4.263915e+01,1.759613e+01,-3.106644e+01,-3.218185e+01,-4.169816e+01,-4.726287e+00,1.135710e+01,-2.487924e+01,-2.985582e+01,2.050285e+01
103,1.030000,7.704069e-01,-9.502313e+00,5.562352e+00,-2.631446e+01,1.534179e+01,-3.441109e+01,-2.871348e+01,-3.970737e+01,-3.519759e+00,-1.258177e+01,-3.751817e+01,-3.095007e+01,1.965191e+01
104,1.040000,4.735518e-01,-6.017785e+00,7.288013e+00,-2.011853e+01,1.535792e+01,-2.576928e+01,-3.587377e+01,-2.510703e+01,-2.880963e+00,-4.882177e+00,-3.946313e+01,-2.460013e+01,1.887166e+01
105,1.050000,-2.941864e+00,-1.129110e+01,7.418270e-01,-2.651404e+01,1.271805e+01,-1.447941e+01,-3.481933e+01,-8.033495e+00,-4.524599e+00,6.353019e-01,-2.771924e+01,-2.398610e+01,1.740936e+01
106,1.060000,-2.629533e+00,-7.264466e+00,-3.577310e+00,-2.431950e+01,2.800586e+00,-2.804940e+01,-3.856769e+01,-9.505719e+00,2.269364e+00,1.365544e+01,-1.542772e+01,-1.608933e+01,1.635336e+01
107,1.070000,2.992034e+00,-8.904156e+00,-5.885323e+00,-1.642315e+01,-6.287259e-01,-2.111962e+01,-2.766905e+01,-2.430893e+00,3.840883e+00,6.761408e+00,-2.171370e+01,-2.378984e+01,1.643832e+01
108,1.080000,-1.856398e+01,-1.323314e+01,5.050344e+00,-1.847852e+01,-1.934340e+01,-2.557056e+01,-1.386398e+01,-2.195920e+01,1.672666e+00,1.984538e+00,-2.276448e+01,9.952691e+00,1.759550e+01
109,1.090000,-3.426432e+01,-2.035125e+01,2.340008e+00,-1.813932e+01,-2.233353e+01,-2.783764e+01,-1.661496e+01,-2.068401e+01,7.307942e+00,3.835621e+00,-1.526580e+01,2.253070e+01,1.963092e+01
110,1.100000,-3.771379e+01,-2.382860e+01,3.136530e+00,-1.885606e+01,-2.198260e+01,-2.387071e+01,-1.302857e+01,-2.840102e+01,9.485001e+00,6.122723e-01,-1.796913e+01,1.458613e+01,1.993254e+01
111,1.110000,-3.834388e+01,-1.901820e+01,1.419678e+00,-2.646405e+01,-2.825022e+01,-1.806567e+01,-5.321233e+00,-1.371847e+01,2.525715e+01,1.706589e+01,-1.015066e+01,4.333557e+00,1.988641e+01
112,1.120000,-4.312613e+01,-1.994445e+01,-3.104592e+00,-3.834362e+01,-2.933776e+01,-5.137124e+00,-2.441331e+00,-2.291030e-02,2.908620e+01,9.279665e+00,-4.383389e+00,1.329510e+01,1.947877e+01
113,1.130000,-4.391563e+01,-2.050319e+01,-7.453591e+00,-4.287347e+01,-4.145009e+01,-3.805264e-01,-5.045288e+00,-9.827348e+00,2.406966e+01,1.649725e+01,5.548803e+00,1.039101e+01,1.967637e+01
114,1.140000,-4.042390e+01,-1.462119e+01,5.589278e+00,-4.142127e+01,-2.840349e+01,4.360872e+00,-6.059972e+00,-1.723560e+01,2.317470e+01,1.253496e+01,1.331692e-01,8.149119e+00,1.973491e+01
115,1.150000,-4.353334e+01,-2.464883e+01,1.457727e+01,-3.643523e+01,-2.083595e+01,-4.405336e+00,-2.092463e+00,-6.668353e+00,2.074562e+01,-7.555434e+00,4.713420e-01,9.530350e+00,1.987112e+01
116,1.160000,-3.087962e+01,-1.654310e+01,2.764388e+01,-3.151519e+01,-2.323230e+01,-7.768065e+00,-1.538714e+01,-3.439980e+01,-2.493381e+00,-1.732719e+01,-2.822170e+01,2.018737e+00,2.045135e+01
117,1.170000,-1.255831e+01,-5.176307e+00,2.837936e+01,-5.517977e+01,-4.310076e+01,-2.777101e+01,-7.332336e+00,-2.269957e+01,-1.230999e+01,-1.694961e+01,-1.726892e+01,-4.601705e+00,2.235379e+01
118,1.180000,-1.376769e+01,-1.248507e+01,2.441609e+01,-7.205487e+01,-5.289876e+01,-3.997984e+01,-1.226966e+01,-2.663505e+01,3.853474e+00,-2.662882e+01,-3.001590e+01,-1.700673e+01,2.329959e+01
119,1.190000,-1.739507e+01,-1.716181e+01,2.662861e+01,-7.722500e+01,-3.626556e+01,-5.075749e+01,5.258883e+00,-2.510286e+01,1.950601e+01,-3.161919e+01,-1.282188e+01,-2.120146e+01,2.382329e+01
120,1.200000,-1.985707e+01,-2.160474e+01,2.973074e+01,-7.582798e+01,-4.357575e+01,-5.213050e+01,1.232285e+01,-3.752328e+01,1.999480e+01,-2.881642e+01,1.420622e+00,-2.876233e+01,2.399755e+01
121,1.210000,-1.840999e+01,-2.045381e+01,3.535836e+01,-6.807169e+01,-4.093693e+01,-4.912276e+01,1.240855e+01,-3.134657e+01,2.549080e+01,-1.435507e+01,8.906332e-01,-1.860183e+01,2.392132e+01
122,1.220000,-1.835453e+01,-1.892490e+01,3.736624e+01,-6.612070e+01,-3.743615e+01,-4.445266e+01,8.183271e+00,-2.907349e+01,2.237501e+01,-1.912228e+01,-7.627869e+00,-1.571352e+01,2.366448e+01
123,1.230000,-2.357075e+01,-1.893900e+01,3.702110e+01,-5.994819e+01,-4.592937e+01,-4.468485e+01,3.197792e+00,-3.221300e+01,-1.381395e+00,-8.150993e+00,-1.475663e+01,-2.001751e+01,2.329342e+01
124,1.240000,-2.423344e+01,-1.321055e+01,3.836423e+01,-5.053741e+01,-4.924291e+01,-5.348637e+01,4.684416e-01,-2.403463e+01,-3.972524e+00,-4.089708e+00,-2.124509e+01,-1.804377e+01,2.311802e+01
125,1.250000,-2.245906e+01,-1.675936e+01,3.848724e+01,-5.769895e+01,-4.111333e+01,-4.740598e+01,-3.476036e+00,-2.773215e+01,-6.021141e+00,-1.921780e+01,-3.025974e+01,-1.337094e+01,2.308614e+01
126,1.260000,-2.174414e+01,-1.889850e+01,3.857641e+01,-5.380222e+01,-3.687252e+01,-3.950613e+01,-1.430725e+01,-3.014618e+01,-6.511298e+00,-1.351631e+01,-3.307404e+01,-5.291949e+00,2.309328e+01
127,1.270000,-2.305418e+01,-1.893739e+01,4.075549e+01,-5.683551e+01,-3.157738e+01,-4.767833e+01,-1.190274e+01,-3.592436e+01,-8.529442e+00,-2.064517e+01,-2.042681e+01,-3.897720e+00,2.304565e+01
128,1.280000,-2.214271e+01,-1.493548e+01,4.050541e+01,-5.465399e+01,-3.181588e+01,-3.771412e+01,-1.655847e+01,-4.755612e+01,-8.296535e+00,-2.837506e+01,-1.777882e+01,5.461584e+00,2.302834e+01
129,1.290000,-2.431664e+01,-1.194723e+01,3.413017e+01,-5.560203e+01,-4.483689e+01,-3.750971e+01,-2.857837e+01,-5.221887e+01,-1.014874e+01,-3.052374e+01,-1.926879e+01,1.096334e+01,2.311182e+01
130,1.300000,-2.315480e+01,-1.189445e+01,4.127893e+01,-6.063152e+01,-3.752838e+01,-3.735189e+01,-3.351513e+01,-4.579609e+01,-9.789392e+00,-2.808723e+01,-2.032796e+01,8.657737e+00,2.298166e+01
131,1.310000,-2.077004e+01,-1.503633e+01,4.596849e+01,-5.879785e+01,-3.458215e+01,-3.942549e+01,-3.027571e+01,-3.405427e+01,-9.157052e+00,-1.375359e+01,-2.489677e+01,-1.306960e+00,2.242109e+01
132,1.320000,-2.137191e+01,-1.095081e+01,3.950098e+01,-6.278408e+01,-3.568964e+01,-3.470994e+01,-2.661154e+01,-2.679688e+01,2.053754e+00,-5.271181e+00,-2.622095e+01,-3.220079e+00,2.124207e+01
133,1.330000,-1.488870e+01,-7.805004e+00,4.817239e+01,-5.136321e+01,-3.316313e+01,-3.349411e+01,-1.201681e+01,-2.337044e+01,-3.142253e+00,-4.314002e+00,-9.087646e+00,-1.019994e+01,1.951482e+01
134,1.340000,-1.840750e+01,-7.327322e+00,4.816431e+01,-4.449664e+01,-2.487727e+01,-3.097529e+01,-1.488240e+01,-3.977058e+01,-1.438319e+01,2.216073e+00,-2.017479e+01,-1.112263e+01,1.862047e+01
135,1.350000,-1.862871e+01,-6.629888e+00,5.188848e+01,-4.978385e+01,-3.777643e+01,-2.043086e+01,-9.591932e+00,-3.581274e+01,-1.254803e+01,-3.223393e-01,-3.723162e+01,-3.093397e+00,1.804116e+01
136,1.360000,-1.703573e+01,-9.386188e+00,4.560052e+01,-4.674274e+01,-3.767743e+01,-8.704102e+00,-3.398195e+00,-2.134864e+01,-1.837720e+01,8.308491e+00,-3.477877e+01,-9.414718e+00,1.740487e+01
137,1.370000,-1.814648e+01,-4.582672e+00,4.388330e+01,-4.208400e+01,-3.235609e+01,-2.262796e+00,-1.095169e+00,-1.416142e+01,-1.894730e+01,1.255997e+01,-2.953998e+01,-1.141497e+01,1.642905e+01
138,1.380000,-3.994360e+01,4.141556e+00,-3.281244e+00,-1.278132e+01,-2.472165e+01,-1.534741e+01,-9.088998e+00,8.684954e-02,-2.856664e+00,-2.647978e+01,-2.755510e+00,-1.121609e+00,1.937064e+01
139,1.390000,-4.329637e+01,-6.277390e-01,-1.987857e+01,-2.425024e+01,-3.607330e+01,-1.983277e+01,-3.423648e+01,-2.209950e+00,-1.600702e+01,-2.409280e+01,5.556490e+00,-1.928055e+00,2.007271e+01
140,1.400000,-4.746251e+01,6.003610e+00,-1.674330e+01,-2.100567e+01,-2.524008e+01,-1.501274e+01,-1.914968e+01,-1.183018e+01,-4.686261e+00,-1.018240e+01,-1.504670e+00,-3.582610e+00,2.015458e+01
141,1.410000,-4.920351e+01,1.644821e+01,-6.926380e+00,-2.113029e+01,-1.422599e+01,-2.368979e+01,-1.751020e+01,-2.203804e+01,-3.199419e+00,-1.359420e+01,-5.159433e+00,6.817725e+00,1.910566e+01
142,1.420000,-4.715603e+01,1.677710e+01,3.053609e+00,-2.337057e+01,-4.695701e+00,-2.315481e+01,-1.808092e+01,-2.439471e+01,-5.693551e+00,-1.031331e+01,5.847519e+00,5.995793e+00,1.809321e+01
143,1.430000,-4.322549e+01,9.174829e+00,4.450355e+00,-1.980503e+01,-1.539783e+01,-3.171210e+01,-1.178041e+01,-1.854075e+00,-2.012095e+01,-1.837547e+01,4.681353e+00,1.442990e+01,1.693769e+01
144,1.440000,-4.111996e+01,1.074720e+01,1.255329e+00,-1.328834e+01,-1.830383e+01,-2.572430e+01,-4.831818e+00,3.730775e+00,-1.122131e+01,-1.671301e+01,2.898340e+00,3.714483e+00,1.527257e+01
145,1.450000,-4.013704e+01,1.236232e+01,-4.286026e+00,-1.246019e+01,-4.704439e+00,-1.470684e+01,-6.091099e+00,5.542557e+00,-1.818699e+00,-1.752613e+01,4.140062e+00,1.376993e+01,1.424751e+01
146,1.460000,-4.041275e+01,1.256513e+01,-1.623525e+00,-1.491471e+00,-6.191795e+00,-8.861880e+00,-3.276740e+00,-7.983124e+00,1.025074e+00,-7.399085e+00,8.963496e-01,2.771300e+00,1.346688e+01
147,1.470000,-3.555905e+01,9.707365e+00,-3.052457e+00,4.897464e+00,-1.294322e+00,3.846939e+00,1.359522e+00,-1.310005e+01,1.269937e+00,-5.298933e+00,-6.408445e+00,-1.494951e+00,1.260867e+01
148,1.480000,-3.161704e+01,3.143259e+00,-2.295234e+00,1.370371e+01,8.705854e+00,7.091230e+00,6.870982e+00,-1.650942e+00,-1.357460e+01,-8.173567e-02,-8.888593e+00,-2.036260e+00,1.191976e+01
